UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:26 ?        00:00:01 /sbin/init splash
root           2       0  0 20:26 ?        00:00:00 [kthreadd]
root           3       2  0 20:26 ?        00:00:00 [rcu_gp]
root           4       2  0 20:26 ?        00:00:00 [rcu_par_gp]
root           5       2  0 20:26 ?        00:00:00 [netns]
root           7       2  0 20:26 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 20:26 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 20:26 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 20:26 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 20:26 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 20:26 ?        00:00:00 [rcu_sched]
root          15       2  0 20:26 ?        00:00:00 [migration/0]
root          16       2  0 20:26 ?        00:00:00 [idle_inject/0]
root          17       2  0 20:26 ?        00:00:00 [cpuhp/0]
root          18       2  0 20:26 ?        00:00:00 [cpuhp/1]
root          19       2  0 20:26 ?        00:00:00 [idle_inject/1]
root          20       2  0 20:26 ?        00:00:00 [migration/1]
root          21       2  0 20:26 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 20:26 ?        00:00:00 [kworker/1:0H-kblockd]
root          24       2  0 20:26 ?        00:00:00 [cpuhp/2]
root          25       2  0 20:26 ?        00:00:00 [idle_inject/2]
root          26       2  0 20:26 ?        00:00:00 [migration/2]
root          27       2  0 20:26 ?        00:00:00 [ksoftirqd/2]
root          29       2  0 20:26 ?        00:00:00 [kworker/2:0H-kblockd]
root          30       2  0 20:26 ?        00:00:00 [cpuhp/3]
root          31       2  0 20:26 ?        00:00:00 [idle_inject/3]
root          32       2  0 20:26 ?        00:00:00 [migration/3]
root          33       2  0 20:26 ?        00:00:00 [ksoftirqd/3]
root          35       2  0 20:26 ?        00:00:00 [kworker/3:0H-events_highpri]
root          36       2  0 20:26 ?        00:00:00 [kdevtmpfs]
root          37       2  0 20:26 ?        00:00:00 [inet_frag_wq]
root          38       2  0 20:26 ?        00:00:00 [kauditd]
root          39       2  0 20:26 ?        00:00:00 [khungtaskd]
root          40       2  0 20:26 ?        00:00:00 [oom_reaper]
root          41       2  0 20:26 ?        00:00:00 [writeback]
root          42       2  0 20:26 ?        00:00:00 [kcompactd0]
root          43       2  0 20:26 ?        00:00:00 [ksmd]
root          44       2  0 20:26 ?        00:00:00 [khugepaged]
root          51       2  0 20:26 ?        00:00:00 [kworker/1:1-events]
root          91       2  0 20:26 ?        00:00:00 [kintegrityd]
root          92       2  0 20:26 ?        00:00:00 [kblockd]
root          93       2  0 20:26 ?        00:00:00 [blkcg_punt_bio]
root          94       2  0 20:26 ?        00:00:00 [tpm_dev_wq]
root          95       2  0 20:26 ?        00:00:00 [ata_sff]
root          96       2  0 20:26 ?        00:00:00 [md]
root          97       2  0 20:26 ?        00:00:00 [edac-poller]
root          98       2  0 20:26 ?        00:00:00 [devfreq_wq]
root          99       2  0 20:26 ?        00:00:00 [watchdogd]
root         100       2  0 20:26 ?        00:00:00 [kworker/2:1-events]
root         102       2  0 20:26 ?        00:00:00 [kworker/0:1H-kblockd]
root         104       2  0 20:26 ?        00:00:00 [kworker/3:1-events]
root         105       2  0 20:26 ?        00:00:00 [kswapd0]
root         106       2  0 20:26 ?        00:00:00 [ecryptfs-kthrea]
root         108       2  0 20:26 ?        00:00:00 [kthrotld]
root         109       2  0 20:26 ?        00:00:00 [acpi_thermal_pm]
root         111       2  0 20:26 ?        00:00:00 [scsi_eh_0]
root         112       2  0 20:26 ?        00:00:00 [scsi_tmf_0]
root         113       2  0 20:26 ?        00:00:00 [scsi_eh_1]
root         114       2  0 20:26 ?        00:00:00 [scsi_tmf_1]
root         115       2  0 20:26 ?        00:00:00 [vfio-irqfd-clea]
root         118       2  0 20:26 ?        00:00:00 [mld]
root         119       2  0 20:26 ?        00:00:00 [ipv6_addrconf]
root         129       2  0 20:26 ?        00:00:00 [kstrp]
root         132       2  0 20:26 ?        00:00:00 [zswap-shrink]
root         133       2  0 20:26 ?        00:00:00 [kworker/u9:0]
root         138       2  0 20:26 ?        00:00:00 [charger_manager]
root         161       2  0 20:26 ?        00:00:00 [kworker/3:1H-kblockd]
root         190       2  0 20:26 ?        00:00:00 [scsi_eh_2]
root         192       2  0 20:26 ?        00:00:00 [kworker/2:1H-kblockd]
root         193       2  0 20:26 ?        00:00:00 [scsi_tmf_2]
root         194       2  0 20:26 ?        00:00:00 [kworker/1:1H-kblockd]
root         197       2  0 20:26 ?        00:00:00 [kworker/0:2-events]
root         216       2  0 20:26 ?        00:00:00 [jbd2/sda5-8]
root         217       2  0 20:26 ?        00:00:00 [ext4-rsv-conver]
root         257       1  0 20:26 ?        00:00:00 /lib/systemd/systemd-journald
root         280       2  0 20:26 ?        00:00:00 [ipmi-msghandler]
root         281       1  0 20:26 ?        00:00:00 /lib/systemd/systemd-udevd
root         289       2  0 20:26 ?        00:00:00 [ttm_swap]
root         290       2  0 20:26 ?        00:00:00 [irq/18-vmwgfx]
root         291       2  0 20:26 ?        00:00:00 [card0-crtc0]
root         292       2  0 20:26 ?        00:00:00 [card0-crtc1]
root         293       2  0 20:26 ?        00:00:00 [card0-crtc2]
root         294       2  0 20:26 ?        00:00:00 [card0-crtc3]
root         295       2  0 20:26 ?        00:00:00 [card0-crtc4]
root         296       2  0 20:26 ?        00:00:00 [card0-crtc5]
root         297       2  0 20:26 ?        00:00:00 [card0-crtc6]
root         298       2  0 20:26 ?        00:00:00 [card0-crtc7]
root         333       2  0 20:26 ?        00:00:00 [iprt-VBoxWQueue]
root         362       2  0 20:26 ?        00:00:00 [cryptd]
systemd+     592       1  0 20:26 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     593       1  0 20:26 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         621       1  0 20:26 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         622       1  0 20:26 ?        00:00:00 /usr/sbin/acpid
